synthetic_caller_id,age,age_band,sex,household_size,region,urbanicity,language,accent_class,employment_status,income_band,customer_tenure_years,primary_intent,secondary_intent,compound_intent,intent_ambiguity,intent_change_midcall,speech_rate,articulation,background_noise,pause_pattern,interruption_frequency,input_mode,emotion,caller_behavior,asks_for_agent,refuses_information,out_of_vocabulary_request,contradictory_information,invalid_input_event,authentication_required,authentication_method,authentication_outcome,authentication_retries,accessibility_interaction_constraint,eligibility_state,regulatory_constraint,expected_route,expected_disposition,hangup_risk,triad_test_class,parallel_valid_path_exists,equivalent_route_exists,hidden_assumption_target,failure_recovery_expected,oracle_outcome
IVR-SYN-00011,30,25-34,Male,3,West,Urban,English,Midwestern US,Full-time,75-99k,2.3,Billing question,None,No,High,No,Normal,Clear,Low,Short,None,Speech,Calm,Cooperative,No,No,No,No,No,Yes,Voice/biometric,Successful,1,Slow-prompt preference,Eligible,Disclosure required,Billing,Correct specialist/agent routing,Moderate,GRAY,No,No,Timing,Retry,Correct route + compliant disposition
IVR-SYN-00012,50,45-54,Male,1,West,Urban,English,General US,Part-time,25-49k,4.6,Payment issue,None,No,High,No,Normal,Clear,None,Normal,None,Speech,Calm,Terse,No,No,No,No,No,Yes,Account number + PIN,Successful,1,None,Agent required,Authentication required,Human escalation,Correct specialist/agent routing,Low,GRAY,No,No,Language,Agent escalation,Correct route + compliant disposition
IVR-SYN-00013,89,75+,Female,1,Northeast,Urban,English,Midwestern US,Part-time,150-249k,0.6,Refund/dispute,None,No,High,No,Fast,Clear,Low,Normal,None,Keypad,Calm,Cooperative,No,No,No,No,No,No,None required,Not applicable,0,None,Ineligible,Human review required,Human escalation,Correct specialist/agent routing,Low,GRAY,No,No,Timing,Alternative input,Correct route + compliant disposition
IVR-SYN-00014,60,55-64,Female,1,Midwest,Urban,English,Midwestern US,Student,75-99k,0.9,Payment issue,Eligibility inquiry,Yes,Moderate,No,Fast,Clear,Moderate,Normal,Occasional,Speech,Calm,Cooperative,Yes,No,No,No,No,Yes,Knowledge-based,Successful,1,Repetition needed,Eligible,None,Billing,Correct specialist/agent routing,Low,GRAY,No,No,Routing,Agent escalation,Correct route + compliant disposition
IVR-SYN-00015,18,18-24,Male,6,Northeast,Urban,English,Northeastern US,Full-time,50-74k,1.6,Address/contact change,Other,Yes,Low,No,Normal,Clear,None,Normal,Occasional,Keypad,Calm,Cooperative,No,No,No,No,No,Yes,Voice/biometric,Repeated failure,4,Keypad preference,Eligible,None,Self-service,Self-service completion,Low,GRAY,No,No,Intent,Retry,Correct route + compliant disposition
IVR-SYN-00016,57,55-64,Male,5,West,Urban,Spanish,Western US,Student,100-149k,17.9,Address/contact change,Cancellation,Yes,Low,No,Slow,Clear,Low,Normal,None,Speech,Calm,Indecisive,No,No,No,No,No,Yes,Knowledge-based,Successful,1,None,Ineligible,Human review required,Human escalation,Correct specialist/agent routing,Low,GRAY,No,No,Intent,Terminate safely,Correct route + compliant disposition
IVR-SYN-00017,65,65-74,Female,2,South,Urban,Spanish,General US,Full-time,150-249k,5.2,Technical support,Payment issue,Yes,Moderate,No,Normal,Clear,Moderate,Normal,Frequent,Speech,Calm,Impatient,No,No,No,No,No,Yes,Account number + PIN,Successful,1,None,Eligible,Disclosure required,Technical support,Correct specialist/agent routing,Moderate,GRAY,No,No,None,Terminate safely,Correct route + compliant disposition
IVR-SYN-00018,46,45-54,Male,4,West,Rural,English,Midwestern US,Full-time,50-74k,0.5,Other,None,No,Low,No,Slow,Clear,Low,Normal,None,Speech,Frustrated,Cooperative,No,No,Yes,No,No,Yes,Knowledge-based,Successful,1,Speech-input difficulty,Eligible,Human review required,Human escalation,Correct specialist/agent routing,Moderate,GREEN,No,No,Language,Alternative input,Correct route + compliant disposition
IVR-SYN-00019,35,35-44,Male,5,West,Suburban,English,General US,Unemployed,25-49k,2.2,Refund/dispute,None,No,Low,Yes,Normal,Mildly unclear,Low,Normal,None,Keypad,Calm,Cooperative,No,No,No,No,No,Yes,One-time code,Successful,0,None,Agent required,None,Human escalation,Correct specialist/agent routing,Low,GREEN,No,No,Eligibility,Re-prompt,Correct route + compliant disposition
IVR-SYN-00020,68,65-74,Female,5,West,Rural,Other,Midwestern US,Self-employed,75-99k,1.7,Order/status inquiry,None,No,High,No,Normal,Clear,None,Normal,None,Speech,Confused,Cooperative,No,No,No,No,No,Yes,Voice/biometric,Successful,0,None,Eligible,None,Self-service,Self-service completion,Moderate,GRAY,No,No,Intent,Agent escalation,Correct route + compliant disposition
IVR-SYN-00021,49,45-54,Nonbinary/Other,6,Northeast,Suburban,English,Midwestern US,Student,75-99k,8.8,Payment issue,None,No,Low,No,Normal,Clear,High,Normal,Occasional,Speech,Calm,Cooperative,No,No,No,No,No,Yes,Account number + PIN,Successful,0,None,Eligible,None,Billing,Correct specialist/agent routing,Moderate,GREEN,No,No,None,Re-prompt,Correct route + compliant disposition
IVR-SYN-00022,54,45-54,Female,6,West,Urban,Spanish,General US,Part-time,100-149k,7.6,Cancellation,None,No,Moderate,No,Normal,Clear,None,Normal,None,Keypad,Calm,Verbose,No,No,No,Yes,No,Yes,Voice/biometric,Failed,1,None,Eligible,None,Retention,Correct specialist/agent routing,Moderate,GRAY,No,No,Routing,Terminate safely,Correct route + compliant disposition
IVR-SYN-00023,57,55-64,Female,6,West,Urban,English,General US,Part-time,25-49k,0.2,Refund/dispute,None,No,Low,No,Normal,Clear,None,Long,None,Keypad,Confused,Terse,No,No,No,No,No,Yes,Knowledge-based,Successful,1,None,Eligible,None,Disputes,Correct specialist/agent routing,Low,GREEN,No,No,Routing,Retry,Correct route + compliant disposition
IVR-SYN-00024,47,45-54,Female,5,South,Urban,English,Northeastern US,Part-time,100-149k,2.0,Refund/dispute,None,No,Low,No,Slow,Clear,Moderate,Normal,None,Speech,Frustrated,Cooperative,No,No,No,No,No,Yes,Account number + PIN,Successful,0,None,Eligible,None,Disputes,Correct specialist/agent routing,Moderate,GREEN,No,No,Identity,Re-prompt,Correct route + compliant disposition
IVR-SYN-00025,70,65-74,Male,5,South,Suburban,English,International,Other,100-149k,9.6,Eligibility inquiry,None,No,Low,No,Slow,Clear,None,Normal,Occasional,Keypad,Calm,Cooperative,No,No,No,Yes,No,Yes,Knowledge-based,Successful,1,None,Agent required,None,Human escalation,Correct specialist/agent routing,Low,GRAY,Yes,No,Intent,Re-prompt,Correct route + compliant disposition
IVR-SYN-00026,64,55-64,Male,5,South,Urban,English,Midwestern US,Full-time,25-49k,17.1,Billing question,None,No,High,No,Normal,Mildly unclear,Moderate,Normal,None,Speech,Anxious,Cooperative,No,No,Yes,No,No,Yes,One-time code,Successful,1,None,Eligible,None,Billing,Correct specialist/agent routing,Moderate,GRAY,No,No,Timing,Re-prompt,Correct route + compliant disposition
IVR-SYN-00027,25,25-34,Male,2,South,Urban,English,Western US,Retired,75-99k,1.5,Order/status inquiry,None,No,Low,No,Normal,Clear,None,Normal,Occasional,Speech,Calm,Verbose,No,No,No,No,No,Yes,Voice/biometric,Successful,0,None,Conditional,Disclosure required,Self-service,Self-service completion,Low,GREEN,No,No,Routing,Agent escalation,Correct route + compliant disposition
IVR-SYN-00028,60,55-64,Male,3,West,Rural,English,General US,Part-time,50-74k,11.5,Payment issue,None,No,High,No,Fast,Clear,Moderate,Normal,None,Speech,Calm,Cooperative,No,No,No,No,No,Yes,Account number + PIN,Successful,0,None,Ineligible,Authentication required,Billing,Correct specialist/agent routing,Moderate,GRAY,No,No,Routing,Retry,Correct route + compliant disposition
IVR-SYN-00029,32,25-34,Male,2,Northeast,Suburban,English,General US,Full-time,50-74k,11.4,Order/status inquiry,None,No,Low,No,Normal,Clear,None,Long,None,Speech,Calm,Confused,Yes,Yes,No,No,No,Yes,Knowledge-based,Successful,1,None,Conditional,None,Self-service,Self-service completion,Moderate,GREEN,No,No,Routing,Terminate safely,Correct route + compliant disposition
IVR-SYN-00030,22,18-24,Female,6,West,Suburban,English,General US,Student,100-149k,10.0,Payment issue,None,No,Moderate,No,Fast,Clear,High,Long,None,Speech,Calm,Confused,Yes,No,No,No,Yes,Yes,Account number + PIN,Successful,1,Low-literacy interaction,Eligible,None,Billing,Correct specialist/agent routing,High,GREEN,No,Yes,Timing,Re-prompt,Correct route + compliant disposition
IVR-SYN-00031,31,25-34,Male,4,Midwest,Suburban,English,Southern US,Part-time,75-99k,3.3,Account information,None,No,Low,No,Slow,Clear,Moderate,Normal,None,Speech,Frustrated,Cooperative,No,No,No,No,No,Yes,Knowledge-based,Successful,0,None,Conditional,None,Self-service,Self-service completion,Moderate,GREEN,No,No,Language,Alternative input,Correct route + compliant disposition
IVR-SYN-00032,35,35-44,Female,4,South,Suburban,English,Midwestern US,Retired,150-249k,1.4,Payment issue,None,No,Low,No,Normal,Clear,Low,Normal,None,Speech,Calm,Cooperative,No,No,No,No,No,Yes,Account number + PIN,Successful,1,None,Eligible,Authentication required,Billing,Correct specialist/agent routing,High,GREEN,Yes,No,Timing,Retry,Correct route + compliant disposition
IVR-SYN-00033,40,35-44,Female,5,South,Rural,English,International,Self-employed,25-49k,8.3,Eligibility inquiry,Refund/dispute,Yes,Low,No,Normal,Clear,None,Long,None,Speech,Confused,Cooperative,No,No,No,No,No,Yes,Account number + PIN,Successful,1,None,Agent required,Authentication required,Human escalation,Correct specialist/agent routing,Low,GRAY,No,Yes,Eligibility,Retry,Correct route + compliant disposition
IVR-SYN-00034,71,65-74,Male,3,Midwest,Urban,English,General US,Retired,100-149k,6.1,Payment issue,None,No,High,No,Normal,Clear,None,Normal,None,Speech,Frustrated,Cooperative,No,No,No,No,No,Yes,Account number + PIN,Successful,0,None,Ineligible,None,Billing,Correct specialist/agent routing,Moderate,GRAY,No,Yes,Routing,Terminate safely,Correct route + compliant disposition
IVR-SYN-00035,19,18-24,Female,2,Midwest,Rural,English,International,Retired,<25k,9.0,Refund/dispute,None,No,High,No,Slow,Clear,None,Normal,Frequent,Speech,Frustrated,Cooperative,Yes,No,No,No,No,No,None required,Not applicable,0,None,Eligible,None,Disputes,Correct specialist/agent routing,Low,GRAY,No,No,Eligibility,Re-prompt,Correct route + compliant disposition
IVR-SYN-00036,31,25-34,Male,1,West,Rural,English,General US,Student,100-149k,10.4,Account information,Refund/dispute,Yes,Moderate,No,Normal,Clear,None,Long,None,Keypad,Calm,Suspicious,No,Yes,No,No,No,Yes,Knowledge-based,Successful,1,None,Conditional,None,Self-service,Self-service completion,Low,GRAY,No,No,Routing,Terminate safely,Correct route + compliant disposition
IVR-SYN-00037,57,55-64,Female,2,Midwest,Urban,English,General US,Other,75-99k,7.0,Other,None,No,High,No,Normal,Clear,Moderate,Normal,None,Speech,Calm,Cooperative,Yes,No,No,No,No,Yes,Knowledge-based,Failed,3,None,Conditional,None,Self-service,Self-service completion,High,GRAY,No,Yes,Identity,Re-prompt,Correct route + compliant disposition
IVR-SYN-00038,44,35-44,Female,3,South,Rural,English,General US,Student,100-149k,0.5,Address/contact change,Appointment/scheduling,Yes,Moderate,Yes,Normal,Clear,None,Normal,None,Keypad,Frustrated,Indecisive,No,No,No,No,Yes,Yes,Knowledge-based,Failed,2,Keypad preference,Eligible,None,Self-service,Self-service completion,Moderate,RED,No,Yes,Timing,Terminate safely,Correct route + compliant disposition
IVR-SYN-00039,41,35-44,Male,6,Northeast,Urban,English,Northeastern US,Other,25-49k,10.6,Billing question,Payment issue,Yes,Low,No,Slow,Clear,Moderate,Normal,None,Keypad,Calm,Confused,No,No,No,Yes,Yes,No,None required,Not applicable,0,None,Eligible,None,Billing,Correct specialist/agent routing,High,RED,No,No,Intent,Re-prompt,Correct route + compliant disposition
IVR-SYN-00040,24,18-24,Male,6,South,Suburban,Spanish,Southern US,Retired,75-99k,7.8,Account information,None,No,Low,No,Slow,Clear,Moderate,Normal,Occasional,Keypad,Calm,Impatient,No,Yes,No,No,No,Yes,Voice/biometric,Successful,1,Keypad preference,Eligible,None,Self-service,Self-service completion,Moderate,GREEN,No,No,Routing,Retry,Correct route + compliant disposition
IVR-SYN-00041,69,65-74,Male,5,Midwest,Suburban,English,General US,Full-time,250k+,19.7,Account information,None,No,High,No,Normal,Clear,Moderate,Normal,None,Speech,Calm,Cooperative,No,Yes,Yes,No,No,Yes,Knowledge-based,Successful,0,None,Eligible,Authentication required,Self-service,Self-service completion,Moderate,RED,No,Yes,Routing,Retry,Correct route + compliant disposition
IVR-SYN-00042,21,18-24,Female,2,Midwest,Urban,English,Southern US,Unemployed,250k+,0.3,Account information,None,No,Low,No,Normal,Mildly unclear,Moderate,Normal,Occasional,Speech,Calm,Terse,No,No,No,No,No,Yes,Account number + PIN,Successful,0,Low-literacy interaction,Eligible,None,Self-service,Self-service completion,Low,GREEN,No,No,Eligibility,Agent escalation,Correct route + compliant disposition
IVR-SYN-00043,58,55-64,Male,5,Midwest,Urban,English,General US,Full-time,75-99k,3.1,Address/contact change,None,No,Moderate,No,Slow,Mildly unclear,None,Short,Occasional,Speech,Anxious,Impatient,No,No,No,No,No,Yes,One-time code,Successful,0,None,Conditional,None,Self-service,Self-service completion,Low,GREEN,No,No,Eligibility,Alternative input,Correct route + compliant disposition
IVR-SYN-00044,38,35-44,Female,5,West,Suburban,English,Southern US,Student,50-74k,0.7,Payment issue,None,No,Low,No,Normal,Clear,Moderate,Short,None,Speech,Calm,Indecisive,No,No,No,Yes,No,Yes,Voice/biometric,Successful,1,None,Ineligible,None,Billing,Correct specialist/agent routing,Low,GRAY,No,No,Intent,Agent escalation,Correct route + compliant disposition
IVR-SYN-00045,62,55-64,Female,1,South,Rural,English,General US,Full-time,100-149k,3.7,Password/credential,None,No,Moderate,No,Fast,Clear,None,Normal,Occasional,Keypad,Calm,Verbose,Yes,No,No,No,No,No,None required,Not applicable,0,None,Eligible,Human review required,Human escalation,Correct specialist/agent routing,Low,GREEN,No,No,Identity,Terminate safely,Correct route + compliant disposition
IVR-SYN-00046,66,65-74,Female,3,South,Rural,English,Midwestern US,Student,250k+,8.6,Address/contact change,None,No,Low,No,Fast,Clear,None,Normal,None,Keypad,Frustrated,Cooperative,No,No,No,No,No,Yes,Knowledge-based,Successful,1,None,Eligible,None,Self-service,Self-service completion,High,GREEN,No,No,Routing,Alternative input,Correct route + compliant disposition
IVR-SYN-00047,25,25-34,Male,1,Midwest,Rural,English,Midwestern US,Full-time,100-149k,7.1,Eligibility inquiry,Password/credential,Yes,Moderate,No,Slow,Clear,None,Normal,None,Speech,Calm,Impatient,No,No,No,No,No,Yes,None required,Not applicable,0,None,Eligible,Authentication required,Specialist,Correct specialist/agent routing,High,GRAY,No,No,Eligibility,Re-prompt,Correct route + compliant disposition
IVR-SYN-00048,67,65-74,Female,6,South,Suburban,Chinese,General US,Full-time,250k+,2.9,Technical support,None,No,Moderate,No,Slow,Clear,Moderate,Normal,None,Keypad,Confused,Cooperative,No,No,No,No,Yes,No,None required,Not applicable,0,None,Eligible,Human review required,Human escalation,Correct specialist/agent routing,Low,GREEN,No,No,Routing,Terminate safely,Correct route + compliant disposition
IVR-SYN-00049,54,45-54,Male,2,South,Rural,English,General US,Retired,250k+,0.9,Cancellation,None,No,Moderate,No,Fast,Clear,None,Normal,None,Keypad,Frustrated,Terse,No,No,No,No,No,Yes,One-time code,Partial,1,None,Ineligible,None,Retention,Correct specialist/agent routing,Low,GREEN,No,No,None,Alternative input,Correct route + compliant disposition
IVR-SYN-00050,45,45-54,Male,4,South,Urban,English,General US,Unemployed,150-249k,6.8,Technical support,None,No,Low,No,Normal,Clear,Low,Normal,Occasional,Speech,Calm,Confused,No,No,Yes,No,No,Yes,Account number + PIN,Successful,1,None,Eligible,None,Technical support,Correct specialist/agent routing,Low,GREEN,No,No,Language,Agent escalation,Correct route + compliant disposition
IVR-SYN-00051,34,25-34,Male,1,Northeast,Rural,English,Northeastern US,Full-time,100-149k,12.7,Refund/dispute,None,No,Low,No,Normal,Clear,Low,Normal,None,Speech,Calm,Cooperative,Yes,No,Yes,No,No,No,None required,Not applicable,0,None,Agent required,None,Human escalation,Correct specialist/agent routing,Moderate,GREEN,No,No,Intent,Agent escalation,Correct route + compliant disposition
IVR-SYN-00052,24,18-24,Male,2,West,Urban,English,Southern US,Student,50-74k,8.8,Password/credential,None,No,High,No,Normal,Clear,None,Short,None,Speech,Frustrated,Impatient,Yes,No,No,No,No,Yes,None required,Not applicable,0,None,Eligible,Authentication required,Self-service,Self-service completion,Low,GRAY,No,No,None,Retry,Correct route + compliant disposition
IVR-SYN-00053,39,35-44,Male,3,South,Urban,English,General US,Part-time,50-74k,2.2,Address/contact change,Eligibility inquiry,Yes,Moderate,No,Normal,Clear,Low,Normal,Occasional,Speech,Calm,Cooperative,Yes,No,No,No,No,Yes,Voice/biometric,Successful,1,None,Conditional,None,Self-service,Self-service completion,High,GRAY,No,No,Eligibility,Terminate safely,Correct route + compliant disposition
IVR-SYN-00054,62,55-64,Male,4,Midwest,Rural,English,Southern US,Full-time,100-149k,5.0,Billing question,None,No,High,No,Normal,Clear,Moderate,Normal,Frequent,Keypad,Urgent,Terse,No,No,No,No,No,Yes,Knowledge-based,Repeated failure,5,None,Eligible,None,Billing,Correct specialist/agent routing,Moderate,RED,No,No,Identity,Agent escalation,Correct route + compliant disposition
IVR-SYN-00055,42,35-44,Male,5,Midwest,Urban,English,General US,Full-time,25-49k,4.4,Refund/dispute,None,No,Moderate,No,Fast,Clear,None,Normal,None,Speech,Calm,Cooperative,No,Yes,No,No,Yes,No,None required,Not applicable,0,None,Eligible,Consent required,Disputes,Correct specialist/agent routing,Low,GREEN,No,No,Eligibility,Agent escalation,Correct route + compliant disposition
IVR-SYN-00056,89,75+,Male,3,West,Rural,English,General US,Unemployed,25-49k,0.5,Technical support,None,No,Moderate,No,Slow,Clear,High,Normal,None,Keypad,Calm,Impatient,No,No,Yes,No,No,Yes,Account number + PIN,Successful,1,None,Conditional,None,Technical support,Correct specialist/agent routing,Low,GREEN,No,No,Identity,Terminate safely,Correct route + compliant disposition
IVR-SYN-00057,56,55-64,Female,1,South,Rural,Chinese,General US,Retired,25-49k,0.2,Eligibility inquiry,None,No,Moderate,No,Normal,Clear,Moderate,Normal,None,Keypad,Frustrated,Impatient,No,No,No,Yes,No,No,None required,Not applicable,0,None,Eligible,None,Specialist,Correct specialist/agent routing,Moderate,RED,No,No,Identity,Retry,Correct route + compliant disposition
IVR-SYN-00058,36,35-44,Male,4,West,Rural,English,Northeastern US,Retired,<25k,1.3,Password/credential,None,No,High,No,Slow,Difficult,Low,Short,None,Speech,Calm,Cooperative,No,No,Yes,No,Yes,No,None required,Not applicable,0,None,Eligible,None,Self-service,Self-service completion,Low,GRAY,No,Yes,None,Retry,Correct route + compliant disposition
IVR-SYN-00059,44,35-44,Female,5,South,Urban,English,General US,Full-time,100-149k,1.9,Billing question,None,No,Low,No,Normal,Clear,Low,Normal,None,Speech,Calm,Cooperative,No,No,No,No,No,Yes,One-time code,Successful,0,None,Eligible,None,Billing,Correct specialist/agent routing,Low,GREEN,No,No,Eligibility,Terminate safely,Correct route + compliant disposition
IVR-SYN-00060,26,25-34,Female,2,Northeast,Rural,English,Southern US,Self-employed,150-249k,4.0,Address/contact change,None,No,High,No,Slow,Mildly unclear,High,Normal,None,Keypad,Calm,Terse,No,No,No,No,No,Yes,One-time code,Partial,1,Keypad preference,Eligible,None,Self-service,Self-service completion,Moderate,GRAY,No,No,Identity,Agent escalation,Correct route + compliant disposition
IVR-SYN-00061,24,18-24,Female,3,West,Urban,English,General US,Unemployed,25-49k,8.6,Address/contact change,Appointment/scheduling,Yes,High,No,Normal,Clear,Low,Normal,None,Speech,Calm,Cooperative,No,No,No,No,No,No,None required,Not applicable,0,None,Eligible,None,Self-service,Self-service completion,Moderate,GRAY,No,No,Identity,Retry,Correct route + compliant disposition
IVR-SYN-00062,29,25-34,Male,5,West,Rural,Spanish,Midwestern US,Part-time,100-149k,11.7,Cancellation,None,No,High,No,Fast,Clear,Low,Normal,None,Speech,Calm,Cooperative,No,No,No,No,No,No,None required,Not applicable,0,None,Eligible,None,Retention,Correct specialist/agent routing,Low,GRAY,Yes,No,Eligibility,Agent escalation,Correct route + compliant disposition
IVR-SYN-00063,66,65-74,Female,3,South,Urban,English,Western US,Full-time,75-99k,8.3,Account information,None,No,Low,No,Fast,Mildly unclear,Moderate,Normal,Frequent,Speech,Calm,Cooperative,No,No,No,No,Yes,No,None required,Not applicable,0,None,Conditional,None,Self-service,Self-service completion,Low,RED,No,Yes,Eligibility,Agent escalation,Correct route + compliant disposition
IVR-SYN-00064,75,75+,Male,2,Midwest,Urban,English,Southern US,Retired,150-249k,8.6,Account information,None,No,Low,No,Normal,Clear,High,Normal,None,Keypad,Calm,Verbose,No,No,No,Yes,No,Yes,Knowledge-based,Successful,1,Low-literacy interaction,Conditional,Authentication required,Self-service,Self-service completion,Low,GRAY,No,No,Intent,Agent escalation,Correct route + compliant disposition
IVR-SYN-00065,65,65-74,Female,1,Midwest,Rural,English,Midwestern US,Student,50-74k,3.6,Address/contact change,None,No,Moderate,No,Fast,Clear,Low,Normal,Occasional,Speech,Anxious,Confused,No,No,No,No,No,No,None required,Not applicable,0,None,Eligible,None,Self-service,Self-service completion,Low,GREEN,No,No,Eligibility,Alternative input,Correct route + compliant disposition
IVR-SYN-00066,56,55-64,Male,5,South,Urban,English,General US,Full-time,150-249k,0.4,Order/status inquiry,Address/contact change,Yes,Low,No,Normal,Clear,Low,Short,None,Speech,Calm,Verbose,No,No,No,No,No,No,None required,Not applicable,0,None,Eligible,None,Self-service,Self-service completion,Moderate,GRAY,No,No,Identity,Alternative input,Correct route + compliant disposition
IVR-SYN-00067,71,65-74,Female,6,Northeast,Urban,English,Northeastern US,Full-time,75-99k,4.8,Address/contact change,None,No,Low,No,Normal,Clear,None,Normal,None,Speech,Confused,Cooperative,No,No,No,No,No,Yes,None required,Not applicable,0,None,Conditional,Authentication required,Self-service,Self-service completion,Moderate,GREEN,No,No,Eligibility,Agent escalation,Correct route + compliant disposition
IVR-SYN-00068,32,25-34,Male,6,West,Urban,English,Midwestern US,Retired,250k+,3.0,Refund/dispute,None,No,Low,No,Normal,Clear,Low,Short,Frequent,Speech,Frustrated,Cooperative,No,No,No,No,No,Yes,Knowledge-based,Successful,0,Slow-prompt preference,Eligible,None,Disputes,Correct specialist/agent routing,Low,GREEN,Yes,No,Intent,Terminate safely,Correct route + compliant disposition
IVR-SYN-00069,28,25-34,Male,5,South,Suburban,English,General US,Other,50-74k,7.3,Address/contact change,None,No,Low,No,Normal,Mildly unclear,None,Normal,Frequent,Speech,Calm,Impatient,No,No,No,No,No,Yes,None required,Not applicable,0,Slow-prompt preference,Conditional,Authentication required,Self-service,Self-service completion,Moderate,GREEN,No,No,Intent,Retry,Correct route + compliant disposition
IVR-SYN-00070,31,25-34,Female,5,Midwest,Rural,English,International,Unemployed,25-49k,2.8,Appointment/scheduling,None,No,Low,No,Fast,Clear,None,Short,Occasional,Speech,Frustrated,Confused,No,No,No,No,No,Yes,Knowledge-based,Successful,1,Speech-input difficulty,Eligible,None,General support,Correct specialist/agent routing,High,GREEN,No,No,Identity,Alternative input,Correct route + compliant disposition
IVR-SYN-00071,37,35-44,Male,4,South,Urban,English,General US,Full-time,50-74k,0.1,Account information,None,No,Moderate,No,Normal,Clear,Low,Short,None,Keypad,Frustrated,Cooperative,No,No,No,Yes,No,No,None required,Not applicable,0,None,Conditional,None,Self-service,Self-service completion,Moderate,GRAY,No,No,None,Retry,Correct route + compliant disposition
